event,timestamp,renko_signal,side,live_price,ml_label,ml_conf,ml_hold_prob,ml_buy_prob,ml_sell_prob,skip_reason,capital,open_positions
SIGNAL_SKIPPED,2026-04-10 06:09:59 UTC,-1,SELL,72092.96,HOLD,0.5124,0.5124,0.0381,0.4495,ML_DISAGREES,10000.0,0
SIGNAL_FIRED,2026-04-10 06:16:59 UTC,1,BUY,72110.48,BUY,0.8797,0.1043,0.8797,0.016,NONE,10000.0,0
TRADE_OPENED,2026-04-10 06:16:59 UTC,BUY,72110.48,72081.6406,72249.6618,3.467475,BUY,0.8797,0.1043,0.8797,0.016,1,1,10000.0
TRADE_CLOSED,2026-04-10 06:18:59 UTC,BUY,72110.48,72081.6406,72081.6406,72249.6618,3.467475,-99.9999,SL,BUY,0.8797,0.1043,0.8797,0.016,1,1,9900.0
SIGNAL_FIRED,2026-04-10 06:43:59 UTC,-1,SELL,71923.86,SELL,0.9668,0.0314,0.0018,0.9668,NONE,9900.0,0
TRADE_OPENED,2026-04-10 06:43:59 UTC,SELL,71923.86,71981.4964,71794.031,1.717663,SELL,0.9668,0.0314,0.0018,0.9668,-1,2,9900.0
SIGNAL_FIRED,2026-04-10 06:49:59 UTC,-1,SELL,71875.32,SELL,0.9576,0.0387,0.0037,0.9576,NONE,9900.0,1
TRADE_OPENED,2026-04-10 06:49:59 UTC,SELL,71875.32,71971.344,71812.3743,1.030992,SELL,0.9576,0.0387,0.0037,0.9576,-1,3,9900.0
TRADE_CLOSED,2026-04-10 06:56:59 UTC,SELL,71875.32,71812.3743,71971.344,71812.3743,1.030992,64.8965,TP,SELL,0.9576,0.0387,0.0037,0.9576,-1,3,9964.9
TRADE_CLOSED,2026-04-10 07:04:59 UTC,SELL,71923.86,71794.031,71981.4964,71794.031,1.717663,223.0025,TP,SELL,0.9668,0.0314,0.0018,0.9668,-1,2,10187.9
SIGNAL_FIRED,2026-04-10 07:40:59 UTC,-1,SELL,71714.78,SELL,0.979,0.0198,0.0012,0.979,NONE,10187.9,0
TRADE_OPENED,2026-04-10 07:40:59 UTC,SELL,71714.78,71757.0574,71637.323,2.409774,SELL,0.979,0.0198,0.0012,0.979,-1,4,10187.9
TRADE_CLOSED,2026-04-10 07:49:59 UTC,SELL,71714.78,71637.323,71757.0574,71637.323,2.409774,186.6539,TP,SELL,0.979,0.0198,0.0012,0.979,-1,4,10374.55
SIGNAL_FIRED,2026-04-10 08:18:59 UTC,1,BUY,71629.99,BUY,0.8664,0.1041,0.8664,0.0295,NONE,10374.55,0
TRADE_OPENED,2026-04-10 08:18:59 UTC,BUY,71629.99,71555.7644,71742.2583,1.397705,BUY,0.8664,0.1041,0.8664,0.0295,1,5,10374.55
SIGNAL_FIRED,2026-04-10 08:20:59 UTC,1,BUY,71646.32,BUY,0.8707,0.0992,0.8707,0.0301,NONE,10374.55,1
TRADE_OPENED,2026-04-10 08:20:59 UTC,BUY,71646.32,71567.4962,71753.9901,1.316171,BUY,0.8707,0.0992,0.8707,0.0301,1,6,10374.55
TRADE_CLOSED,2026-04-10 08:39:59 UTC,BUY,71629.99,71742.2583,71555.7644,71742.2583,1.397705,156.918,TP,BUY,0.8664,0.1041,0.8664,0.0295,1,5,10531.47
TRADE_CLOSED,2026-04-10 08:49:59 UTC,BUY,71646.32,71567.4962,71567.4962,71753.9901,1.316171,-103.7456,SL,BUY,0.8707,0.0992,0.8707,0.0301,1,6,10427.73
SIGNAL_FIRED,2026-04-10 09:37:59 UTC,1,BUY,71851.48,BUY,0.9724,0.0265,0.9724,0.0011,NONE,10427.73,0
TRADE_OPENED,2026-04-10 09:37:59 UTC,BUY,71851.48,71763.4427,71899.6589,1.184466,BUY,0.9724,0.0265,0.9724,0.0011,1,7,10427.73
TRADE_CLOSED,2026-04-10 09:46:59 UTC,BUY,71851.48,71763.4427,71763.4427,71899.6589,1.184466,-104.2772,SL,BUY,0.9724,0.0265,0.9724,0.0011,1,7,10323.45
SIGNAL_FIRED,2026-04-10 09:56:59 UTC,1,BUY,71806.45,BUY,0.9474,0.0441,0.9474,0.0085,NONE,10323.45,0
TRADE_OPENED,2026-04-10 09:56:59 UTC,BUY,71806.45,71763.9812,71850.3687,2.430834,BUY,0.9474,0.0441,0.9474,0.0085,1,8,10323.45
SIGNAL_FIRED,2026-04-10 09:59:59 UTC,1,BUY,71787.41,BUY,0.9592,0.0366,0.9592,0.0042,NONE,10323.45,1
TRADE_OPENED,2026-04-10 09:59:59 UTC,BUY,71787.41,71777.4174,71861.0465,10.331122,BUY,0.9592,0.0366,0.9592,0.0042,1,9,10323.45
TRADE_CLOSED,2026-04-10 10:00:59 UTC,BUY,71787.41,71777.4174,71777.4174,71861.0465,10.331122,-103.2348,SL,BUY,0.9592,0.0366,0.9592,0.0042,1,9,10220.21
TRADE_CLOSED,2026-04-10 10:06:59 UTC,BUY,71806.45,71763.9812,71763.9812,71850.3687,2.430834,-103.2346,SL,BUY,0.9474,0.0441,0.9474,0.0085,1,8,10116.98
SIGNAL_FIRED,2026-04-10 10:06:59 UTC,-1,SELL,71729.27,SELL,0.8341,0.1473,0.0186,0.8341,NONE,10116.98,0
TRADE_OPENED,2026-04-10 10:06:59 UTC,SELL,71729.27,71782.4477,71677.4579,1.902486,SELL,0.8341,0.1473,0.0186,0.8341,-1,10,10116.98
SIGNAL_FIRED,2026-04-10 10:08:59 UTC,-1,SELL,71764.01,SELL,0.7957,0.1837,0.0206,0.7957,NONE,10116.98,1
TRADE_OPENED,2026-04-10 10:08:59 UTC,SELL,71764.01,71793.2761,71688.2863,3.45689,SELL,0.7957,0.1837,0.0206,0.7957,-1,11,10116.98
SIGNAL_SKIPPED,2026-04-10 10:09:59 UTC,-1,SELL,71771.18,SELL,0.8146,0.164,0.0214,0.8146,MAX_POSITIONS_REACHED,10116.98,2
TRADE_CLOSED,2026-04-10 10:13:59 UTC,SELL,71729.27,71782.4477,71782.4477,71677.4579,1.902486,-101.1698,SL,SELL,0.8341,0.1473,0.0186,0.8341,-1,10,10015.81
SIGNAL_FIRED,2026-04-10 10:13:59 UTC,1,BUY,71791.57,BUY,0.9334,0.0551,0.9334,0.0114,NONE,10015.81,1
TRADE_OPENED,2026-04-10 10:13:59 UTC,BUY,71791.57,71746.7909,71840.5703,2.236714,BUY,0.9334,0.0551,0.9334,0.0114,1,12,10015.81
TRADE_CLOSED,2026-04-10 10:14:59 UTC,SELL,71764.01,71793.2761,71793.2761,71688.2863,3.45689,-101.1697,SL,SELL,0.7957,0.1837,0.0206,0.7957,-1,11,9914.64
SIGNAL_FIRED,2026-04-10 10:15:59 UTC,1,BUY,71810.4,BUY,0.9396,0.0497,0.9396,0.0107,NONE,9914.64,1
TRADE_OPENED,2026-04-10 10:15:59 UTC,BUY,71810.4,71755.9267,71849.7061,1.82009,BUY,0.9396,0.0497,0.9396,0.0107,1,13,9914.64
SIGNAL_SKIPPED,2026-04-10 10:16:59 UTC,1,BUY,71797.81,BUY,0.8652,0.1141,0.8652,0.0207,MAX_POSITIONS_REACHED,9914.64,2
SIGNAL_SKIPPED,2026-04-10 10:17:59 UTC,1,BUY,71797.04,BUY,0.855,0.1242,0.855,0.0207,MAX_POSITIONS_REACHED,9914.64,2
SIGNAL_SKIPPED,2026-04-10 10:19:59 UTC,1,BUY,71816.04,BUY,0.855,0.1242,0.855,0.0207,MAX_POSITIONS_REACHED,9914.64,2
TRADE_CLOSED,2026-04-10 10:24:59 UTC,BUY,71791.57,71746.7909,71746.7909,71840.5703,2.236714,-100.158,SL,BUY,0.9334,0.0551,0.9334,0.0114,1,12,9814.48
TRADE_CLOSED,2026-04-10 10:24:59 UTC,BUY,71810.4,71755.9267,71755.9267,71849.7061,1.82009,-99.1463,SL,BUY,0.9396,0.0497,0.9396,0.0107,1,13,9715.33
SIGNAL_FIRED,2026-04-10 10:24:59 UTC,1,BUY,71738.43,BUY,0.9383,0.051,0.9383,0.0107,NONE,9715.33,0
TRADE_OPENED,2026-04-10 10:24:59 UTC,BUY,71738.43,71749.4466,71843.2261,8.818797,BUY,0.9383,0.051,0.9383,0.0107,1,14,9715.33
TRADE_CLOSED,2026-04-10 10:27:59 UTC,BUY,71738.43,71749.4466,71749.4466,71843.2261,8.818797,97.1532,SL,BUY,0.9383,0.051,0.9383,0.0107,1,14,9812.49
SIGNAL_FIRED,2026-04-10 10:27:59 UTC,-1,SELL,71737.75,SELL,0.8175,0.1653,0.0173,0.8175,NONE,9812.49,0
TRADE_OPENED,2026-04-10 10:27:59 UTC,SELL,71737.75,71778.322,71693.1552,2.418536,SELL,0.8175,0.1653,0.0173,0.8175,-1,15,9812.49
SIGNAL_FIRED,2026-04-10 10:31:59 UTC,-1,SELL,71744.98,SELL,0.8134,0.1672,0.0194,0.8134,NONE,9812.49,1
TRADE_OPENED,2026-04-10 10:31:59 UTC,SELL,71744.98,71783.7211,71706.4217,2.532838,SELL,0.8134,0.1672,0.0194,0.8134,-1,16,9812.49
SIGNAL_SKIPPED,2026-04-10 10:34:59 UTC,-1,SELL,71757.01,SELL,0.823,0.159,0.018,0.823,MAX_POSITIONS_REACHED,9812.49,2
SIGNAL_SKIPPED,2026-04-10 10:37:59 UTC,-1,SELL,71766.86,SELL,0.8228,0.1591,0.018,0.8228,MAX_POSITIONS_REACHED,9812.49,2
SIGNAL_SKIPPED,2026-04-10 10:39:59 UTC,1,BUY,71776.73,BUY,0.7327,0.2433,0.7327,0.024,MAX_POSITIONS_REACHED,9812.49,2
TRADE_CLOSED,2026-04-10 10:40:59 UTC,SELL,71737.75,71778.322,71778.322,71693.1552,2.418536,-98.1248,SL,SELL,0.8175,0.1653,0.0173,0.8175,-1,15,9714.36
SIGNAL_FIRED,2026-04-10 10:40:59 UTC,-1,SELL,71781.83,SELL,0.812,0.1691,0.0189,0.812,NONE,9714.36,1
TRADE_OPENED,2026-04-10 10:40:59 UTC,SELL,71781.83,71785.4736,71708.1741,26.66173,SELL,0.812,0.1691,0.0189,0.812,-1,17,9714.36
TRADE_CLOSED,2026-04-10 10:41:59 UTC,SELL,71744.98,71783.7211,71783.7211,71706.4217,2.532838,-98.1249,SL,SELL,0.8134,0.1672,0.0194,0.8134,-1,16,9616.24
TRADE_CLOSED,2026-04-10 10:41:59 UTC,SELL,71781.83,71785.4736,71785.4736,71708.1741,26.66173,-97.1447,SL,SELL,0.812,0.1691,0.0189,0.812,-1,17,9519.09
SIGNAL_FIRED,2026-04-10 10:44:59 UTC,1,BUY,71800.01,BUY,0.8443,0.1334,0.8443,0.0223,NONE,9519.09,0
TRADE_OPENED,2026-04-10 10:44:59 UTC,BUY,71800.01,71755.8548,71841.3261,2.155827,BUY,0.8443,0.1334,0.8443,0.0223,1,18,9519.09
SIGNAL_FIRED,2026-04-10 10:47:59 UTC,1,BUY,71810.01,BUY,0.8441,0.1336,0.8441,0.0223,NONE,9519.09,1
TRADE_OPENED,2026-04-10 10:47:59 UTC,BUY,71810.01,71758.7478,71844.2191,1.856941,BUY,0.8441,0.1336,0.8441,0.0223,1,19,9519.09
SIGNAL_SKIPPED,2026-04-10 10:49:59 UTC,1,BUY,71831.86,BUY,0.9709,0.022,0.9709,0.0071,MAX_POSITIONS_REACHED,9519.09,2
TRADE_CLOSED,2026-04-10 10:51:59 UTC,BUY,71800.01,71841.3261,71755.8548,71841.3261,2.155827,89.0704,TP,BUY,0.8443,0.1334,0.8443,0.0223,1,18,9608.16
TRADE_CLOSED,2026-04-10 10:51:59 UTC,BUY,71810.01,71844.2191,71758.7478,71844.2191,1.856941,63.5243,TP,BUY,0.8441,0.1336,0.8441,0.0223,1,19,9671.69
SIGNAL_FIRED,2026-04-10 11:37:59 UTC,1,BUY,72222.64,BUY,0.9628,0.0349,0.9628,0.0022,NONE,9671.69,0
TRADE_OPENED,2026-04-10 11:37:59 UTC,BUY,72222.64,72166.3982,72295.3403,1.719663,BUY,0.9628,0.0349,0.9628,0.0022,1,20,9671.69
SIGNAL_FIRED,2026-04-10 11:38:59 UTC,1,BUY,72205.37,BUY,0.9658,0.032,0.9658,0.0022,NONE,9671.69,1
TRADE_OPENED,2026-04-10 11:38:59 UTC,BUY,72205.37,72163.883,72292.8252,2.33126,BUY,0.9658,0.032,0.9658,0.0022,1,21,9671.69
SIGNAL_SKIPPED,2026-04-10 11:40:59 UTC,1,BUY,72254.32,BUY,0.9628,0.0349,0.9628,0.0022,MAX_POSITIONS_REACHED,9671.69,2
SIGNAL_SKIPPED,2026-04-10 11:43:59 UTC,1,BUY,72213.02,BUY,0.9628,0.0349,0.9628,0.0022,MAX_POSITIONS_REACHED,9671.69,2
TRADE_CLOSED,2026-04-10 11:45:59 UTC,BUY,72222.64,72166.3982,72166.3982,72295.3403,1.719663,-96.7169,SL,BUY,0.9628,0.0349,0.9628,0.0022,1,20,9574.97
TRADE_CLOSED,2026-04-10 11:45:59 UTC,BUY,72205.37,72163.883,72163.883,72292.8252,2.33126,-96.717,SL,BUY,0.9658,0.032,0.9658,0.0022,1,21,9478.25
SIGNAL_FIRED,2026-04-10 11:47:59 UTC,1,BUY,72167.99,BUY,0.8754,0.1108,0.8754,0.0138,NONE,9478.25,0
TRADE_OPENED,2026-04-10 11:47:59 UTC,BUY,72167.99,72108.1961,72278.5394,1.585154,BUY,0.8754,0.1108,0.8754,0.0138,1,22,9478.25
TRADE_CLOSED,2026-04-10 11:57:59 UTC,BUY,72167.99,72108.1961,72108.1961,72278.5394,1.585154,-94.7825,SL,BUY,0.8754,0.1108,0.8754,0.0138,1,22,9383.47
SIGNAL_FIRED,2026-04-10 12:04:59 UTC,1,BUY,72178.93,BUY,0.9596,0.0377,0.9596,0.0027,NONE,9383.47,0
TRADE_OPENED,2026-04-10 12:04:59 UTC,BUY,72178.93,72117.0378,72250.0596,1.516099,BUY,0.9596,0.0377,0.9596,0.0027,1,23,9383.47
SIGNAL_FIRED,2026-04-10 12:07:59 UTC,1,BUY,72131.83,BUY,0.9626,0.0347,0.9626,0.0027,NONE,9383.47,1
TRADE_OPENED,2026-04-10 12:07:59 UTC,BUY,72131.83,72117.7847,72250.8065,6.680855,BUY,0.9626,0.0347,0.9626,0.0027,1,24,9383.47
TRADE_CLOSED,2026-04-10 12:12:59 UTC,BUY,72178.93,72117.0378,72117.0378,72250.0596,1.516099,-93.8347,SL,BUY,0.9596,0.0377,0.9596,0.0027,1,23,9289.64
TRADE_CLOSED,2026-04-10 12:12:59 UTC,BUY,72131.83,72117.7847,72117.7847,72250.8065,6.680855,-93.8346,SL,BUY,0.9626,0.0347,0.9626,0.0027,1,24,9195.8
SIGNAL_SKIPPED,2026-04-10 12:12:59 UTC,-1,SELL,72111.81,SELL,0.5845,0.3881,0.0274,0.5845,LOW_CONFIDENCE,9195.8,0
SIGNAL_FIRED,2026-04-10 12:13:59 UTC,-1,SELL,72100.01,SELL,0.6921,0.2863,0.0216,0.6921,NONE,9195.8,0
