timestamp,open,high,low,close,volume
2026-04-11 12:59:59.999000+00:00,72923.01,72940.5,72920.0,72940.49,13.31058
2026-04-11 13:04:59.999000+00:00,72940.5,72940.5,72773.33,72811.44,51.46225
2026-04-11 13:09:59.999000+00:00,72811.44,72834.72,72738.47,72752.17,78.67958
2026-04-11 13:14:59.999000+00:00,72752.16,72752.17,72513.09,72605.99,177.23771
2026-04-11 13:19:59.999000+00:00,72605.99,72774.14,72605.98,72767.9,37.14013
2026-04-11 13:24:59.999000+00:00,72767.9,72767.91,72668.2,72668.2,16.31681
2026-04-11 13:29:59.999000+00:00,72668.01,72736.0,72616.77,72616.78,24.53878
2026-04-11 13:34:59.999000+00:00,72616.79,72655.21,72578.18,72597.22,20.35165
2026-04-11 13:39:59.999000+00:00,72597.23,72641.77,72594.58,72633.27,10.97929
2026-04-11 13:44:59.999000+00:00,72633.26,72716.56,72626.69,72668.01,15.56237
2026-04-11 13:49:59.999000+00:00,72668.0,72700.89,72641.53,72700.88,16.01747
2026-04-11 13:54:59.999000+00:00,72700.89,72706.0,72650.0,72669.27,15.83204
2026-04-11 13:59:59.999000+00:00,72669.28,72694.6,72658.06,72658.07,29.85467
2026-04-11 14:04:59.999000+00:00,72658.07,72693.27,72617.8,72666.71,44.45718
2026-04-11 14:24:59.999000+00:00,72728.48,72770.91,72718.63,72740.3,13.85902
2026-04-11 14:29:59.999000+00:00,72740.3,72740.3,72708.44,72712.93,10.6167
2026-04-11 14:34:59.999000+00:00,72712.93,72712.94,72666.0,72703.84,9.14659
2026-04-11 14:44:59.999000+00:00,72629.75,72669.27,72609.27,72657.3,35.40458
2026-04-11 14:49:59.999000+00:00,72657.3,72668.87,72643.38,72643.39,19.49888
2026-04-11 14:54:59.999000+00:00,72643.39,72737.89,72643.38,72717.37,13.41258
2026-04-11 14:59:59.999000+00:00,72717.37,72727.24,72704.66,72704.67,13.15088
2026-04-11 15:04:59.999000+00:00,72704.66,72737.89,72678.0,72712.97,14.78302
2026-04-11 15:09:59.999000+00:00,72712.97,72712.98,72689.01,72689.02,11.04262
2026-04-11 15:14:59.999000+00:00,72689.02,72704.68,72689.01,72700.71,13.11614
2026-04-11 16:49:59.999000+00:00,73107.54,73199.99,73060.93,73154.83,53.43029
2026-04-11 16:54:59.999000+00:00,73154.82,73200.0,73067.83,73074.96,36.01054
2026-04-15 08:29:59.999000+00:00,73942.75,73992.24,73942.74,73990.51,27.49879
2026-04-15 08:34:59.999000+00:00,73990.5,74134.38,73972.47,74133.57,57.03514
2026-04-15 08:39:59.999000+00:00,74133.57,74172.52,74100.0,74100.49,53.76004
2026-04-15 08:44:59.999000+00:00,74100.49,74137.74,74084.57,74094.97,43.3091
2026-04-15 08:49:59.999000+00:00,74094.97,74094.97,74033.29,74051.65,22.70791
2026-04-15 08:54:59.999000+00:00,74051.65,74181.9,74033.01,74163.22,112.6954
2026-04-15 08:59:59.999000+00:00,74163.23,74171.82,74110.51,74110.51,29.46418
2026-04-15 09:04:59.999000+00:00,74110.52,74176.49,74034.0,74047.37,76.59184
2026-04-15 09:09:59.999000+00:00,74047.36,74085.06,74010.0,74014.11,20.71868
2026-04-15 09:14:59.999000+00:00,74014.11,74070.04,73960.13,74029.5,122.72957
2026-04-15 09:19:59.999000+00:00,74029.51,74083.64,74022.44,74083.63,9.4003
2026-04-15 09:24:59.999000+00:00,74083.63,74083.64,74051.64,74051.65,21.31621
2026-04-15 09:29:59.999000+00:00,74051.65,74051.65,73930.97,73957.34,21.08931
2026-04-15 09:34:59.999000+00:00,73957.34,74004.81,73930.97,73930.97,11.55506
2026-04-15 09:39:59.999000+00:00,73930.97,73988.76,73930.97,73930.98,11.06596
2026-04-15 09:44:59.999000+00:00,73930.97,73985.81,73909.49,73966.0,22.17227
2026-04-15 09:49:59.999000+00:00,73966.01,73979.7,73933.2,73948.82,10.26247
2026-04-15 09:54:59.999000+00:00,73948.82,73971.68,73925.03,73969.31,14.03543
2026-04-15 09:59:59.999000+00:00,73969.32,74024.94,73965.51,74011.69,22.2808
2026-04-15 10:04:59.999000+00:00,74011.7,74067.11,73984.31,74008.04,47.24508
2026-04-15 10:09:59.999000+00:00,74008.04,74179.26,74003.1,74134.38,21.08444
2026-04-15 10:14:59.999000+00:00,74134.37,74164.92,74102.0,74109.49,21.39316
2026-04-15 10:19:59.999000+00:00,74109.5,74115.46,74000.0,74001.77,29.43588
2026-04-15 10:24:59.999000+00:00,74001.78,74018.65,73940.0,73979.09,35.51457
2026-04-15 10:29:59.999000+00:00,73979.09,74013.9,73884.69,73904.46,49.95213
2026-04-15 10:34:59.999000+00:00,73904.45,73915.62,73799.05,73837.19,143.68384
2026-04-15 10:39:59.999000+00:00,73837.2,73862.0,73789.5,73846.56,15.46098
2026-04-15 10:44:59.999000+00:00,73846.56,74051.65,73846.55,74051.65,25.22799
2026-04-15 10:49:59.999000+00:00,74051.65,74250.0,74051.65,74089.7,98.49844
2026-04-15 10:54:59.999000+00:00,74089.69,74111.4,74000.88,74000.88,35.06463
2026-04-15 10:59:59.999000+00:00,74000.88,74000.88,73831.12,73864.75,26.32633
2026-04-15 11:04:59.999000+00:00,73864.76,73948.83,73864.76,73903.47,25.78429
2026-04-15 11:09:59.999000+00:00,73903.47,73999.34,73877.0,73985.24,54.94344
2026-04-15 11:14:59.999000+00:00,73985.24,74088.77,73985.23,74023.5,35.53839
2026-04-15 11:19:59.999000+00:00,74023.51,74023.51,73945.38,73948.68,18.16669
2026-04-15 11:24:59.999000+00:00,73948.68,73976.0,73928.9,73970.01,11.75824
2026-04-15 11:29:59.999000+00:00,73970.01,74007.48,73956.4,73956.41,13.0216
2026-04-15 11:34:59.999000+00:00,73956.41,74027.61,73940.01,73977.8,19.0166
2026-04-15 11:39:59.999000+00:00,73977.8,74057.37,73977.79,74012.89,15.2164
2026-04-15 11:44:59.999000+00:00,74012.89,74049.22,73987.47,74049.21,15.25267
2026-04-15 11:49:59.999000+00:00,74049.21,74243.38,74034.0,74097.89,159.28013
2026-04-15 11:54:59.999000+00:00,74097.89,74256.44,74097.88,74222.75,42.0797
2026-04-15 11:59:59.999000+00:00,74222.76,74223.06,74162.16,74201.78,34.67475
2026-04-15 12:04:59.999000+00:00,74201.78,74227.0,74111.0,74145.27,78.13527
2026-04-15 12:09:59.999000+00:00,74145.27,74170.0,74051.64,74134.22,25.25711
2026-04-15 12:14:59.999000+00:00,74134.21,74255.01,74134.21,74201.76,123.52059
2026-04-15 12:19:59.999000+00:00,74201.76,74228.59,74119.0,74206.0,17.38523
2026-04-15 12:24:59.999000+00:00,74205.99,74257.7,74200.65,74229.67,21.73808
2026-04-15 12:29:59.999000+00:00,74229.67,74249.56,74163.05,74177.1,14.24279
2026-04-15 12:34:59.999000+00:00,74177.1,74238.59,74177.09,74231.2,22.49896
2026-04-15 12:39:59.999000+00:00,74231.2,74466.1,74222.45,74452.75,97.70196
2026-04-15 12:44:59.999000+00:00,74452.76,74454.06,74308.14,74333.96,47.68117
2026-04-15 12:49:59.999000+00:00,74333.96,74370.01,74324.29,74344.93,41.79038
2026-04-15 12:54:59.999000+00:00,74344.93,74360.03,74300.04,74329.3,39.11739
2026-04-15 12:59:59.999000+00:00,74329.31,74336.0,74273.77,74273.77,38.37636
2026-04-15 13:04:59.999000+00:00,74273.77,74288.0,74182.17,74232.68,40.58169
2026-04-15 13:09:59.999000+00:00,74232.69,74376.81,74216.88,74338.61,58.08803
2026-04-15 13:14:59.999000+00:00,74338.61,74338.61,74278.5,74322.02,26.78013
2026-04-15 13:19:59.999000+00:00,74322.01,74331.93,74279.5,74279.5,25.41225
2026-04-15 13:24:59.999000+00:00,74279.5,74317.16,74250.0,74273.84,17.01327
2026-04-15 13:29:59.999000+00:00,74273.85,74434.51,74273.85,74398.09,44.47442
2026-04-15 13:34:59.999000+00:00,74398.09,74417.04,74107.92,74198.76,131.17485
2026-04-15 13:39:59.999000+00:00,74198.76,74215.76,73976.63,74133.98,110.67453
2026-04-15 13:44:59.999000+00:00,74133.98,74142.13,73861.84,73879.18,76.91097
2026-04-15 13:49:59.999000+00:00,73879.18,74007.07,73861.34,73925.68,59.48319
2026-04-15 13:54:59.999000+00:00,73925.68,73970.7,73817.23,73848.82,35.07201
2026-04-15 13:59:59.999000+00:00,73849.28,74134.06,73849.28,74063.92,50.69371
2026-04-15 14:04:59.999000+00:00,74063.91,74068.01,73933.08,73933.08,63.15465
2026-04-15 14:09:59.999000+00:00,73933.09,73986.84,73830.0,73945.66,38.05132
2026-04-15 14:14:59.999000+00:00,73945.65,74154.48,73935.32,74154.48,53.23739
2026-04-15 14:19:59.999000+00:00,74154.47,74390.01,74129.87,74160.83,93.21861
2026-04-15 14:24:59.999000+00:00,74160.83,74445.21,74160.83,74426.29,101.39651
2026-04-15 14:29:59.999000+00:00,74426.29,74506.84,74395.8,74429.99,84.34341
